Date_Time,Value
2023-07-06 0:00,156.429
2023-07-07 0:00,156.421
2023-07-08 0:00,156.415
2023-07-09 0:00,156.411
2023-07-10 0:00,156.42
2023-07-11 0:00,156.406
2023-07-12 0:00,156.391
2023-07-13 0:00,156.383
2023-07-14 0:00,156.391
2023-07-15 0:00,156.389
2023-07-16 0:00,156.391
2023-07-17 0:00,156.383
2023-07-18 0:00,156.383
2023-07-19 0:00,156.377
2023-07-20 0:00,156.372
2023-07-21 0:00,156.358
2023-07-22 0:00,156.36
2023-07-23 0:00,156.355
2023-07-24 0:00,156.349
2023-07-25 0:00,156.355
2023-07-26 0:00,156.347
2023-07-27 0:00,156.351
2023-07-28 0:00,156.352
2023-07-29 0:00,156.346
2023-07-30 0:00,156.345
2023-07-31 0:00,156.328
2023-08-01 0:00,156.314
2023-08-02 0:00,156.33
2023-08-03 0:00,156.336
2023-08-04 0:00,156.319
2023-08-05 0:00,156.311
2023-08-06 0:00,156.316
2023-08-07 0:00,156.317
2023-08-08 0:00,156.328
2023-08-09 0:00,156.328
2023-08-10 0:00,156.312
2023-08-11 0:00,156.312
2023-08-12 0:00,156.315
2023-08-13 0:00,156.322
2023-08-14 0:00,156.285
2023-08-15 0:00,156.288
2023-08-16 0:00,156.297
2023-08-17 0:00,156.264
2023-08-18 0:00,156.262
2023-08-19 0:00,156.26
2023-08-20 0:00,156.275
2023-08-21 0:00,156.267
2023-08-22 0:00,156.269
2023-08-23 0:00,156.27
2023-08-24 0:00,156.279
2023-08-25 0:00,156.282
2023-08-26 0:00,156.246
2023-08-27 0:00,156.278
2023-08-28 0:00,156.259
2023-08-29 0:00,156.247
2023-08-30 0:00,156.261
2023-08-31 0:00,156.26
2023-09-01 0:00,156.267
2023-09-02 0:00,156.208
2023-09-03 0:00,156.199
2023-09-04 0:00,156.209
2023-09-05 0:00,156.222
2023-09-06 0:00,156.224
2023-09-07 0:00,156.237
2023-09-08 0:00,156.229
2023-09-09 0:00,156.214
2023-09-10 0:00,156.226
2023-09-11 0:00,156.227
2023-09-12 0:00,156.217
2023-09-13 0:00,156.2
2023-09-14 0:00,156.202
2023-09-15 0:00,156.221
2023-09-16 0:00,156.198
2023-09-17 0:00,156.205
2023-09-18 0:00,156.206
2023-09-19 0:00,156.183
2023-09-20 0:00,156.158
2023-09-21 0:00,156.197
2023-09-22 0:00,156.182
2023-09-23 0:00,156.167
2023-09-24 0:00,156.182
2023-09-25 0:00,156.134
2023-09-26 0:00,156.154
2023-09-27 0:00,156.15
2023-09-28 0:00,156.14
2023-09-29 0:00,156.138
2023-09-30 0:00,156.145
2023-10-01 0:00,156.172
2023-10-02 0:00,156.139
2023-10-03 0:00,156.125
2023-10-04 0:00,156.088
2023-10-05 0:00,156.065
2023-10-06 0:00,156.125
2023-10-07 0:00,156.114
2023-10-08 0:00,156.147
2023-10-09 0:00,156.101
2023-10-10 0:00,156.111
2023-10-11 0:00,156.11
2023-10-12 0:00,156.092
2023-10-13 0:00,156.107
2023-10-14 0:00,156.128
2023-10-15 0:00,156.109
2023-10-16 0:00,156.07
2023-10-17 0:00,156.07
2023-10-18 0:00,156.112
2023-10-19 0:00,156.09
2023-10-20 0:00,156.016
2023-10-21 0:00,156.009
2023-10-22 0:00,155.969
2023-10-23 0:00,155.933
2023-10-24 0:00,155.98
2023-10-25 0:00,155.995
2023-10-26 0:00,155.968
2023-10-27 0:00,155.999
2023-10-28 0:00,155.976
2023-10-29 0:00,155.982
2023-10-30 0:00,156.019
2023-10-31 0:00,155.973
2023-11-01 0:00,155.973
2023-11-02 0:00,155.978
2023-11-03 0:00,155.991
2023-11-04 0:00,155.989
2023-11-05 0:00,155.976
2023-11-06 0:00,155.982
2023-11-07 0:00,155.96
2023-11-08 0:00,155.953
2023-11-09 0:00,156.022
2023-11-10 0:00,156
2023-11-11 0:00,155.961
2023-11-12 0:00,155.896
2023-11-13 0:00,155.948
2023-11-14 0:00,155.951
2023-11-15 0:00,155.917
2023-11-16 0:00,155.999
2023-11-17 0:00,155.93
2023-11-18 0:00,155.946
2023-11-19 0:00,155.938
2023-11-20 0:00,155.832
2023-11-21 0:00,155.889
2023-11-22 0:00,155.938
